"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"WCSW-FM","Bloomington","Religious Teaching","","No","","2820 Communications Inc.","",
"WHGR-FM","Columbus, GA","Religious Teaching","","No","","Uchee Pines Institute","",
"WEQM-FM","","Contemporary Christian","","No","","The Salvation Poem Foundation, Inc.","",
"KGPL-FM","","Religious Teaching","","No","","We Have This Hope Christian Radio, Inc.","",
"KJLB-FM","","Contemporary Christian","KJILFM","No","","Great Plains Christian Radio","",
"KRLK-FM","","Spanish Contemporary Christian","","No","","My Bridge Radio, Inc.","",
"KPWI-FM","","Format Not Available","","No","","ADVENTIST RADIO ALASKA CORPORATION","",
"KTUY-FM","","Format Not Available","","No","","ADVENTIST RADIO ALASKA CORPORATION","",
"KZSG-FM","San Francisco","Variety","KPDOFM","No","","Pescadero Public Radio Service, Inc.","",
"KDUO-FM","","Spanish Variety","","No","","Radio Bilingue, Inc.","",
"WYSP-FM","","Adult Alternative","WMLDFM","No","","Telikoja Educational Broadcasting Inc.","",
"KYPT-FM","","Religious Teaching","","No","","American Christian Radio, Inc.","",
"WLWG-FM","Pittsburgh, PA","Religious Teaching","","No","","Grace FM, Inc.","",
"KRHR-FM","","Format Not Available","","No","","SeaSound Broadcasting, LLC","",
"KLPS-FM","El Paso","Religious Teaching","","No","","Relevant Radio","",
"KKQA-FM","","Format Not Available","","No","","Sand Point Broadcasting, Inc.","",
"KFXM-LP","","Classic Country","","No","","Urban Ingenuity, Inc.","",
"KQXP-LP","Lafayette, LA","Urban Contemporary","","No","","Jam Expo","",
"WFAG-LP","Valdosta, GA","Spanish Variety","","No","","VALDOSTA ALLIANCE INC","",
"KLBY-FM","","Classic Rock","KABTFM","No","","WesTex Telco, LLC","",
"WZZV-LP","","Format Not Available","","No","","bUtiful, Inc","B. Jordan Communications Corporation",
"WLHL-FM","","Religious Teaching","","No","","Vanguard Association of Sunbelt Colleges Corp","",
"KZSX-LP","","Classic Rock","","No","","R Squared Broadcasting, Inc.","",
"WXEC-LP","","Modern/Alternative Rock","","No","","Eureka College","",
"KPBL-FM","","Contemporary Christian","","No","","The Praise Network, Inc.","",
"KBXY-FM","","News/Talk","KBSXFM","No","","Boise State University","",
"KBSP-FM","","Classical","KBSUFM","No","","Boise State University","",
"WDNW-FM","","Contemporary Christian","","No","","University of Northwestern St. Paul","",
"WVGL-FM","","Religious Teaching","","No","","Araiza Revival Ministries, Inc.","",
"KGLE-FM","","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"KVEJ-FM","","Religious Teaching","","No","","VSS Catholic Communications, Inc.","",
"WNMR-FM","","Spanish Religious Teaching","","No","","Nelson Rodriguez","",
"KILE-LP","","Classic Hits","","No","","Tarkington Radio Club","",
"KCTG-FM","","Religious Teaching","","No","","Lifetalk Radio, Inc.","",
"KXAZ-FM","","Format Not Available","","No","","Rim Country Media Inc.","",
"KNHO-FM","","Silent","","No","","American Christian Radio, Inc.","",
"WOHJ-LP","","Religious Teaching","","No","","Philema Road Baptist Church","",
"KONL-FM","","Religious Teaching","","No","","VSS Catholic Communications, Inc.","",
"WVFF-LP","","Variety","","No","","Truth In Broadcasting Corporation","",
"KBCT-FM","","Classic Hits","","No","","Eagle Radio, Inc.","",
"KJGA-FM","","Spanish Religious Teaching","","No","","Minn-Iowa Christian Broadcasting","",
"WPFH-LP","","Religious Teaching","","No","","PORT CHARLOTTE EDUCATIONAL BROADCASTING FOUNDATION","",
"WTRL-FM","","Spanish Contemporary Christian","","No","","Freedom`s Way Assembly of God","",
"WVEX-LP","","Format Not Available","","No","","Tri-Rock Media Communications Corporation","",
"WAVN-LP","","Format Not Available","","No","","AVON CENTRAL CO.","",
"KVGR-FM","","Religious Teaching","","No","","VISIONALASKA, INC., ALASKA BRETHREN MINISTRIES","Voice for Christ Ministries, Inc.",
"WNPW-FM","","News/Talk","","No","","The Public`s Radio","",
"WMPF-FM","","Variety","","No","","River Valley Community Association","",
"KTNU-LP","","Religious Teaching","","No","","Tonasket Assembly of God","",
"WHWT-FM","","Religious Teaching","WHWLFM","No","","Gospel Opportunities, Inc.","",
"KLUV-FM","","Contemporary Christian","","No","","K-Love, Inc.","",
"KOGR-LP","","Variety","","No","","Oak Grove Radio Association","",
"KMRV-LP","","Adult Alternative","","No","","Community Broadcasting of St. Charles County","",
"WIOH-LP","","Classic Hits","","No","","Clinton County Amateur Radio Association","",
"KJJL-FM","","Contemporary Christian","KJILFM","No","","Great Plains Christian Radio","",
"KCTM-LP","","Variety","","No","","Cali Foundation","",
"KLKT-LP","","Variety","","No","","THE LOCKHART ARTS, MUSIC, AND BROADCAST EDUC CORP","",
"WMQY-LP","","Southern Gospel","","No","","Rutherford County Baptist Church","",
"WGGG-LP","","Variety","","No","","Ossipee Public Media, Inc.","",
"WDZK-LP","","Southern Gospel","","No","","Emmanuel Charismatic Episcopal Church","",
"KJWC-FM","","Religious Teaching","","No","","Minn-Iowa Christian Broadcasting","",
"KLNY-FM","","Religious Teaching","","No","","CSN International","",
"KFLK-FM","","Religious Teaching","","No","","CALVARY CHAPEL MINOT","",
"WLGO-FM","","Format Not Available","","No","","National Assoc for the Prevention of Starvation","",
"WSWC-FM","","Religious Teaching","","No","","Linda De Romanett","",
"WDOG-LP","","Rock","","No","","Bad Dog Radio","",
"WCCX-LP","","Country","","No","","All for One Educational Media, Inc.","",
"KTQZ-LP","","Format Not Available","","No","","Toquerville City","",
"KLYN-FM","","Religious Teaching","","No","","The Rock Christian Outreach of Las Vegas","",
"KZNO-LP","","Spanish Religious Teaching","","No","","Venture Technologies Group","Guadalupe Radio",
"WPBQ-FM","","News/Talk","","No","HD2:Classical-GPB Classical","Georgia Public Broadcasting","",
"KKFO-LP","","Classic Country","","No","","Gold Country Radio Foundation","",
"KVGF-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"WUPI-FM","","Adult Hits","","No","","University of Maine System","",
"WCRY-FM","","Country","","No","","Legacy Broadcasting, Inc.","",
"KCQA-FM","","Silent","","No","","COMMUNITY SERVICE BROADCASTING FOUNDATION, INC.","",
"KTFB-LP","","Classic Country","","No","","Texas Farm Bureau","",
"KBXC-FM","","News/Talk","","No","","Boise State University","",
"KBXU-FM","","Classical","","No","","Boise State University","",
"WUVA-LP","","Spanish Religious Teaching","","No","","Una Vida Abundante, Inc.","",
"WUTL-LP","","Format Not Available","","No","","YOUNG FAMILY SPORTS ASSOCIATION CORPORATION","",
"KTJO-FM","","Adult Hits","KTJKFM","No","","WesTex Telco, LLC","",
"WBMG-FM","","Country","WDNBFM","No","","Bold Gold Media Group, Inc.","",
"WPMY-FM","","Religious Teaching","","No","","Central Pennsylvania Christian Institute","",
"KLPZ-FM","","Format Not Available","","No","","Rim Country Media Inc.","",
"KETW-FM","","Religious Teaching","","No","","VSS Catholic Communications, Inc.","",
"KKJX-FM","","Silent","","No","","East Texas Community Broadcasting","",
"KNTC-FM","","Format Not Available","","No","","RxDIO.com LLC","",
"KLFU-FM","","Ethnic","KWBPFM","No","","CEDAR BROADCASTING, INC.","",
"KGCB-FM","","Southern Gospel","","No","","The Praise Network, Inc.","",
"KBXM-FM","","Classical","","No","","Boise State University","",
"KBXS-FM","","News/Talk","","No","","Boise State University","",
"KOWJ-LP","","Contemporary Christian","","No","","Greater Love Tabernacle","",
"KMRT-LP","","Variety","KPCRLP","No","","Media Watch for Improving Women`s Images","",
"KHLC-FM","","Contemporary Christian","","No","","The Praise Network, Inc.","",
"WVWO-LP","","Classic Hits","","No","","CROCKER MEDIA GROUP LLC","",
"WTFO-LP","","Spanish Tropical","","No","","ESCUCHANOS INC.","",
"KBCC-FM","","Religious Teaching","","No","","St. John Before the Latin Gate Parish","",
"WQCO-FM","Ft. Pierce-Stuart-Vero Beach","Rock","WQJSFM","No","","Indian River State College","",
"WRRI-FM","","Religious Teaching","","No","","Pensacola Christian College","",
"KAPK-FM","","News/Talk","","No","","WIND RIVER BROADCASTING, INC.","",
"WUWU-LP","","Variety","","No","","Elberta Labor Heritage Center","",
"KMIK-FM","","Club/EDM/Techno","KXAVFM","No","","XAVIER ENTERTAINMENT, LLC","",
"KLFK-FM","","Religious Teaching","","No","","CSN International","",
"KYJM-FM","","Religious Teaching","","No","","First Baptist Church of Nephi","",
"KJLW-FM","","Spanish Religious Teaching","","No","","Minn-Iowa Christian Broadcasting","",
