"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"KIIZ-FM","Killeen-Temple, TX","Urban Contemporary","","No","","iHeartMedia, Inc.","",
"KRCO-FM","","Classic Country","","No","","Horizon Broadcasting Group, LLC","",
"KIJN-FM","","Religious Teaching","","No","","Top of Texas Educational Broadcasting Foundation","",
"KIJV-AM","","Adult Contemporary","","No","","Riverfront Broadcasting, LLC","",
"KIKC-AM","","Classic Country","","No","","P&A MEDIA LLC","",
"KIKC-FM","","Country","","No","","P&A MEDIA LLC","",
"KEBN-FM","Los Angeles","Spanish Regional Mexican","KBUEFM","No","","Mediaco Holding Inc.","",
"KIKI-AM","Honolulu","Sports","","No","","iHeartMedia, Inc.","",
"KUBT-FM","Honolulu","Rhythmic-CHR","","Yes","HD2:Classic Hip Hop-Jamz Hawaii","iHeartMedia, Inc.","",
"KIKK-AM","Houston-Galveston","Sports","","No","","Audacy","",
"KKHH-FM","Houston-Galveston","Adult Hits","","Yes","HD2:Hot AC-Channel Q / HD3:Sports-The Bet 650 AM","Audacy","",
"KTCK-FM","Dallas-Ft. Worth","Sports","KTCKAM","Yes","","Cumulus Media, Inc.","",
"KIKN-FM","Sioux Falls, SD","Country","KSOOFM","No","","Townsquare Media","",
"KIKO-AM","","Classic Country","","No","","1TV.Com, Inc.","",
"KZOM-FM","","Spanish Regional Mexican","","No","","Orozco Broadcasting LLC","",
"WJOD-FM","","Country","","No","","Townsquare Media","",
"KIKS-FM","","Country","","No","","Ad Astra Radio","",
"KIKT-FM","","Country","","No","","E RADIO NETWORK, LLC","",
"KIKV-FM","","Country","","No","","Hubbard Broadcasting, Inc.","",
"KBIQ-FM","Colorado Springs","Contemporary Christian","","No","","K-Love, Inc.","",
"KIKZ-AM","","Adult Contemporary","","No","","Fort Stockton Radio Co., Inc.","",
"KILJ-AM","","Classic Country","","No","","KILJ, Inc.","",
"KILJ-FM","","Adult Standards","","No","","KILJ, Inc.","",
"KILO-FM","Colorado Springs","Rock","","No","","Bahakel Communications, Inc.","",
"KILR-AM","","Talk","","No","","Beaver Broadcasting, Inc.","",
"KILR-FM","","Country","","No","","Beaver Broadcasting, Inc.","",
"KZUH-FM","Salina-Manhattan, KS","Contemporary Christian","","No","","Great Plains Christian Radio","",
"KILT-AM","Houston-Galveston","Sports","","No","","Audacy","",
"KILT-FM","Houston-Galveston","Country","","Yes","HD2:Sports-Sports Radio 610 / HD3:Country-KIKK Country HD3","Audacy","",
"KIMM-AM","","Sports","","No","","BLACK HILLS BROADCASTING, L.L.C.","",
"KIMN-FM","Denver-Boulder","Hot AC","","Yes","","KSE Radio Ventures","",
"KIMP-AM","","Spanish Adult Hits","","No","","East Texas Broadcasting, Inc.","",
"KJAC-FM","Denver-Boulder","Adult Alternative","","No","","Community Radio for Northern Colorado","",
"KIMY-FM","","Southern Gospel","","No","","South Central Oklahoma Christian Broadcasting, Inc","",
"KINA-AM","Salina-Manhattan, KS","Talk","","No","","Eagle Radio, Inc.","",
"KIND-AM","","Sports","","No","","Murfin Media, Inc.","",
"KBIK-FM","","Country","","No","","Murfin Media, Inc.","",
"KINE-AM","Corpus Christi","Spanish Religious Teaching","","No","","Lopez Broadcasting","",
"KINE-FM","Honolulu","Ethnic","","Yes","","SummitMedia, LLC","",
"KING-FM","Seattle-Tacoma","Classical","","Yes","HD2:Classical-Evergreen Classical / HD3:Classical-Christmas Channel","Classic Radio, Inc.","",
"KINI-FM","","CHR","","No","","Rosebud Sioux Tribe","",
"KINK-FM","Portland, OR","Adult Alternative","","Yes","HD2:Rock-102.9 KUFO","Connoisseur Media, LLC","",
"KINL-FM","","CHR","","No","","Universal Media Connections LLC","",
"KINN-AM","","Talk","","No","","Burt Broadcasting, Inc.","",
"KWSW-AM","","Adult Contemporary","","No","","Eureka Broadcasting Co., Inc.","",
"KINT-FM","El Paso","Spanish Regional Mexican","KHROAM/KSVEAM","No","","Entravision Communications Corp.","",
"KINY-AM","","Adult Contemporary","","No","","Local First Media Group","Alaska First Media",
"KPSZ-AM","Des Moines","Religious Teaching","","No","","Saga Communications, Inc.","",
"KIOA-FM","Des Moines","Classic Hits","","Yes","HD2:Rhythmic-CHR-Hits 99.9","Saga Communications, Inc.","",
"KIOC-FM","Beaumont-Port Arthur, TX","Classic Rock","","No","","iHeartMedia, Inc.","",
"KIOI-FM","San Francisco","Hot AC","","Yes","HD2:Rhythmic-CHR-Pride Radio","iHeartMedia, Inc.","",
"KIOK-FM","","Country","","No","","Stephens Media Group","",
"KVLM-FM","","Religious Teaching","","No","","VCY America, Inc.","",
"KIOO-FM","","Classic Rock","","No","","Momentum Broadcasting LP","",
"KIOT-FM","Albuquerque","Classic Rock","","No","","American General Media","",
"KIOU-AM","Shreveport","Religious Teaching","","No","","Wilkins Communications","",
"KTRP-AM","Boise","Spanish Contemporary Christian","","No","","La Estacion De La Familia","",
"KIOW-FM","","Adult Hits","","No","","Coloff Media","",
"KXBJ-FM","","Contemporary Christian","","No","","Hope Media Group","",
"KLVJ-FM","San Diego","Contemporary Christian","","No","","K-Love, Inc.","",
"KIPR-FM","Little Rock","Urban Contemporary","","No","","Cumulus Media, Inc.","",
"KIQI-AM","San Francisco","Spanish Variety","KATDAM","No","","Multicultural Radio Broadcasting","",
"KIQK-FM","","Country","","No","","Haugo Broadcasting, Inc.","",
"KSTT-FM","San Luis Obispo, CA","Adult Contemporary","","No","","American General Media","",
"KKZI-AM","","Silent","","No","","Rubin Broadcasting, Inc.","",
"KIQS-AM","","Spanish Regional Mexican","","No","","Independence Rock Media, LLC","Juan Villagrana",
"KIQX-FM","","Hot AC","","No","","Four Corners Broadcasting, LLC","",
"KIQZ-FM","","Silent","","No","","Mt. Rushmore Broadcasting, Inc.","",
"KIRC-FM","Oklahoma City","Classic Country","","No","","One Ten Broadcast Group, Inc.","",
"KJEL-FM","","Country","","No","","CARTER MEDIA LLC","",
"KHOJ-AM","St. Louis","Religious Teaching","","No","","Covenant Network","",
"KIRO-AM","Seattle-Tacoma","Sports","","No","","Bonneville International","",
"KKWF-FM","Seattle-Tacoma","Country","","Yes","","Audacy","",
"KJMZ-FM","","Urban Contemporary","","No","","Mollman Communications","",
"KIRV-AM","Fresno","Spanish Religious Teaching","","No","","Radio Vida Abundante","",
"KIRX-AM","","Classic Hits","","No","","KIRX, Inc.","",
"KISC-FM","Spokane","Adult Contemporary","","Yes","HD2:Country-Kix 99.3","iHeartMedia, Inc.","",
"KISD-FM","Sioux Falls, SD","Oldies","","No","","Christensen Broadcasting","",
"KMJK-FM","Kansas City","CHR","","Yes","","Cumulus Media, Inc.","",
"KLBL-FM","Hot Springs, AR","Classic Hits","","No","","US Stations, LLC","",
"KISM-FM","","Classic Rock","","Yes","","Saga Communications, Inc.","",
"KNRS-AM","Salt Lake City-Ogden-Provo","Talk","KNRSFM","Yes","","iHeartMedia, Inc.","",
"KZHT-FM","Salt Lake City-Ogden-Provo","CHR","","Yes","","iHeartMedia, Inc.","",
"KOY-AM","Phoenix","Spanish Regional Mexican","","Yes","","iHeartMedia, Inc.","",
"KISR-FM","Ft. Smith, AR","CHR","","Yes","HD2:Country-The Outlaw 93.7 / HD3:Classic Rock-River 101.9 / HD4:Classic Country-Rooster 105.5","Baker Media","",
"KISS-FM","San Antonio","Rock","","Yes","","Cox Media Group","",
"KCLU-AM","Santa Barbara, CA","News/Talk","","No","","California Lutheran University","",
"KISW-FM","Seattle-Tacoma","Rock","","Yes","HD2:Rock-The Metal Channel	","Audacy","",
"KISX-FM","Tyler-Longview","Urban Adult Contemporary","","No","","Townsquare Media","",
"KISZ-FM","","Country","","No","","Hutton Broadcasting, LLC","",
"KIT-AM","","News/Talk","","No","","Townsquare Media","",
"KTUV-AM","Little Rock","Silent","","No","","Crain Media Group, LLC","BROADCAST INDUSTRY GROUP, LLC",
"KRNH-FM","","Classic Country","","Yes","HD2:News/Talk-Hill Country Patriot 102.1 FM/104.3 FM / HD3:Classic Rock-The Raptor 96.5 & 93.9 / HD4:Country-The Fox 106.5","Radio Ranch, Ltd.","",
"KITI-AM","","Classic Hits","","No","","Premier Broadcasters, Inc.","",
"KITI-FM","","Hot AC","","No","","Premier Broadcasters, Inc.","",
"KITN-FM","","Adult Hits","","No","","Absolute Communications, LLC","",
"KGND-AM","","Sports","","No","","Stephens Media Group","",
"KITO-FM","Tulsa","Sports","","No","","Stephens Media Group","",
"KSIB-FM","","Country","","No","","G.O. Radio, Inc.","",
"KITS-FM","San Francisco","Modern/Alternative Rock","","Yes","","Audacy","",
"KXKS-FM","Shreveport","Country","","No","","Townsquare Media","",
"KITX-FM","","Country","","No","HD3:Classic Country-HD 94.7 / HD4:Sports-ESPN Radio 105.1","PAYNE MEDIA GROUP LLC","",
"KIUL-AM","","Talk","KYULAM","No","","Steckline Communications, Inc.","",
"KIUN-AM","","Country","","No","","Pecos Radio Co.","",
"KIUP-AM","","Sports","","No","","Four Corners Broadcasting, LLC","",
"KKNS-AM","Albuquerque","Country","KTNNFM/KTNNFM","No","","The Navajo Nation","",
"KIVY-AM","","Adult Standards","","No","","Leon Hunt","",
"KIVY-FM","","Country","","No","","Leon Hunt","",
"KIWA-AM","","Talk","","No","","Community First Broadcasting, LLC","",
"KIWA-FM","","Classic Hits","","No","","Community First Broadcasting, LLC","",
"KQKZ-FM","Bakersfield","Spanish Adult Contemporary","","No","","Lotus Communications Corp.","",
"KBTQ-FM","McAllen-Brownsville-Harlingen","Spanish Adult Hits","","No","","Latino Media Network, LLC","",
"KIXA-FM","Victor Valley","Classic Rock","","No","","El Dorado Broadcasters, LLC","",
"KIXB-FM","","Country","","No","","Noalmark Broadcasting Corp.","",
"KWFB-FM","","Classic Hits","","No","","Falls Media, LLC","Wichita Falls Texas Media, LLC",
"KIXF-FM","","Country","KIXWFM","No","","HEFTEL BROADCASTING COMPANY LLC","",
"KIXI-AM","Seattle-Tacoma","Oldies","","No","","Hubbard Broadcasting, Inc.","",
"KYOW-AM","Austin","Religious Teaching","","No","","Relevant Radio","",
"KIXN-FM","","Country","","No","","Noalmark Broadcasting Corp.","",
"KJMK-FM","Joplin, MO","Classic Hits","","No","","Zimmer Radio, Inc.","",
"KQSN-FM","","Country","","No","","Team Radio, LLC","Team Radio, LLC",
"KIXS-FM","","Country","","No","","Townsquare Media","",
"KMLM-FM","Santa Maria-Lompoc, CA","Spanish Regional Mexican","KMLAFM","No","","Gold Coast Radio, LLC","",
"KNEL-FM","","Classic Country","","No","","Farris Broadcasting, Inc.","",
"KIXW-AM","Victor Valley","Talk","","No","","El Dorado Broadcasters, LLC","",
"KIXW-FM","Victor Valley","Country","KIXFFM","No","","HEFTEL BROADCASTING COMPANY LLC","",
"KIXX-FM","","Hot AC","","No","","Connoisseur Media, LLC","",
"KIXY-FM","San Angelo, TX","CHR","","No","","Foster Communications Co.","",
"KIXZ-AM","Amarillo, TX","News/Talk","","No","","Townsquare Media","",
"KWNW-FM","Memphis","Classic Rock","","Yes","","iHeartMedia, Inc.","",
"KIZN-FM","Boise","Country","","No","","Cumulus Media, Inc.","",
"KIZZ-FM","","CHR","","No","","iHeartMedia, Inc.","",
"KJAA-AM","","Oldies","","No","","Globecasting, Inc.","",
"KJAE-FM","","Country","","No","","Pene Broadcasting Co.","",
"KVCE-FM","Lubbock","Religious Teaching","","No","","VCY America, Inc.","",
"KJAM-AM","","Classic Hits","","No","","Christensen Broadcast Group","",
"KMZM-FM","","Country","","No","","Christensen Broadcast Group","",
"KJAN-AM","","Variety","","No","","Wireless Communications Corp.","",
"KJAV-FM","McAllen-Brownsville-Harlingen","Contemporary Christian","","No","","Christian Ministries of the Valley, Inc.","",
"KWSX-AM","Stockton","Sports","","Yes","","iHeartMedia, Inc.","",
"KJAY-AM","Sacramento","Ethnic","","No","","KJAY, LLC","",
"KLPF-AM","Odessa-Midland, TX","Religious Teaching","","No","","La Promesa Foundation","",
"KJBN-AM","Little Rock","Contemporary Christian","","No","","Joshua Ministries","",
"KJBZ-FM","Laredo, TX","Spanish Regional Mexican","","No","","Guerra Enterprises","",
"KJCE-AM","Austin","Talk","","No","","Audacy","",
"KJFF-AM","St. Louis","News/Talk","","No","","Connoisseur Media, LLC","",
"KJCK-AM","Salina-Manhattan, KS","Classic Hits","","No","","Eagle Radio, Inc.","",
"KJCK-FM","Salina-Manhattan, KS","CHR","","No","","Eagle Radio, Inc.","",
"KJCS-FM","","Classic Country","","No","","Bryan Broadcasting","",
"KJDJ-AM","San Luis Obispo, CA","Spanish Religious Teaching","","No","","Radio Vida Abundante","",
"KFBK-FM","Sacramento","News/Talk","KFBKAM","Yes","","iHeartMedia, Inc.","",
"KJDY-AM","","Country","KJDYFM","No","","Elkhorn Media Group","",
"KJEE-FM","Santa Barbara, CA","Modern/Alternative Rock","","No","","James Evans","",
"KHLA-FM","","Classic Hits","","No","","Townsquare Media","",
"KBNN-AM","","News/Talk","","No","","CARTER MEDIA LLC","",
"KIGL-FM","Fayetteville (North West Arkansas)","Classic Rock","","No","","iHeartMedia, Inc.","",
"KWOK-AM","","Sports","","No","","Connoisseur Media, LLC","",
"KJEZ-FM","","Rock","","No","","Max Broadcast Group Holdings, LLC","",
"KJFM-FM","","Country","","No","","Foxfire Communications, Inc.","",
"KJFX-FM","Fresno","Classic Rock","","No","","One Putt Broadcasting","",
"KQBL-FM","Boise","Country","","Yes","HD2:Rock-99.1 I-Rock / HD3:Modern/Alternative Rock-96.5 The Alternative","Iliad Media Group","",
"KJIM-AM","","Adult Standards","","No","","Bob Mark Allen Productions, Inc.","",
"KJIN-AM","","Urban Adult Contemporary","","No","","JLE, INCORPORATED","",
"KJIW-FM","","Inspirational Gospel","","No","","Elijah Mondy, Jr.","",
"KEUN-FM","Lafayette, LA","Country","","No","","CAJUN PRAIRIE BROADCASTING, LLC","",
"KNWI-FM","Des Moines","Contemporary Christian","KNWMFM","No","","University of Northwestern St. Paul","",
"KJJK-AM","","CHR","","No","","Leighton Enterprises, Inc.","",
"KJJK-FM","","Country","","No","","Leighton Enterprises, Inc.","",
"KTNF-AM","Minneapolis-St. Paul","News/Talk","","No","","JR Broadcasting LLC","",
"KJJQ-AM","","Classic Country","","No","","Connoisseur Media, LLC","",
"KJJR-AM","","Talk","","No","","Bee Broadcasting, Inc.","",
"KJJY-FM","Des Moines","Country","","No","","Cumulus Media, Inc.","",
"KVOK-FM","","Hot AC","","No","HD2:Country-Kodiak's Country Station","Kodiak Island Broadcasting Partners","",
"KJKJ-FM","","Rock","","No","","iHeartMedia, Inc.","",
"KIXQ-FM","Joplin, MO","Country","","Yes","HD2:Talk-NewsTalk KZRG 102.9FM, 105.9FM and 1310 AM","Zimmer Radio, Inc.","",
"KJLH-FM","Los Angeles","Urban Adult Contemporary","","No","","TAXI Productions, Inc.","",
"KJLO-FM","Monroe, LA","Country","","No","","Holladay Broadcasting of Louisiana, LLC","",
"KJLS-FM","Salina-Manhattan, KS","Hot AC","","No","","Eagle Radio, Inc.","",
"KJMB-FM","","Adult Contemporary","","No","","James M. Morris","",
"KGNU-AM","Denver-Boulder","Variety","KGNUFM","Yes","","Boulder Community Broadcast Association, Inc.","",
"KJMM-FM","Tulsa","Urban Contemporary","","No","","Perry Broadcasting Company, Inc.","",
"KBBM-FM","Columbia, MO","Country","","No","","Cumulus Media, Inc.","",
"KJMS-FM","Memphis","Urban Adult Contemporary","","Yes","","iHeartMedia, Inc.","",
"KBTE-FM","Lubbock","Rhythmic-CHR","","No","","Connoisseur Media, LLC","",
"KDFG-FM","Monterey-Salinas-Santa Cruz","Classical","","No","","University of Southern California","",
"KMXB-FM","Las Vegas","Hot AC","","Yes","HD2:Hot AC-Channel Q / HD3:News/Talk","Audacy","",
"KJNA-FM","","Classic Country","","No","","CLOESSNER NEWS & BROADCASTING LLC.","",
"KJNO-AM","","Talk","","No","","Local First Media Group","Alaska First Media",
"KJNP-AM","","Religious Teaching","KJHAFM","No","","Evangelistic Alaska Missionary Fellowship","",
"KJNP-FM","","Religious Teaching","","No","","Evangelistic Alaska Missionary Fellowship","",
"KJOE-FM","","Country","","Yes","HD2:Classic Rock-KC Rocks 106.1 HD2 / HD3:Contemporary Christian-KD Radio ","Christensen Broadcasting","",
"KSOF-FM","Fresno","Adult Contemporary","","Yes","","iHeartMedia, Inc.","",
"KJOZ-AM","Houston-Galveston","Spanish Religious Teaching","","No","HD3:Spanish Tropical-Rumba 102.5","Centro Cristiano de Vida Eterna","",
"KLJZ-FM","","Hot AC","","No","","Monstermedia, LLC","",
"KJOP-AM","","Religious Teaching","","No","","Relevant Radio","",
"KJOT-FM","Boise","Adult Hits","","No","","Lotus Communications Corp.","",
"KJOY-FM","Stockton","Adult Contemporary","","Yes","","Cumulus Media, Inc.","",
"KKNE-AM","Honolulu","Format Not Available","","No","","Raleigh Wake Chapter Shaw Univ Natl Alumni Assoc","",
"KJPW-AM","","Talk","","No","","CARTER MEDIA LLC","",
"KOZQ-FM","","Classic Rock","","No","","CARTER MEDIA LLC","",
"KJR-AM","Seattle-Tacoma","Sports","KJRFM","No","","iHeartMedia, Inc.","",
"KJEB-FM","Seattle-Tacoma","Classic Hits","","Yes","","iHeartMedia, Inc.","",
"KJRB-AM","Spokane","Rock","","No","","Stephens Media Group","",
"KJRG-AM","Wichita","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KVTT-AM","","Ethnic","","No","","FunAsia Media","",
"KJSK-AM","","News/Talk","","No","","Connoisseur Media, LLC","",
"KYFI-AM","St. Louis","Religious Teaching","","No","","Bible Broadcasting Network","",
"KJSN-FM","Modesto","Adult Contemporary","","Yes","","iHeartMedia, Inc.","",
"KRHZ-FM","Tulsa","Classic Rock","","No","","Zoellner Media Group","",
"KRPA-AM","Seattle-Tacoma","Format Not Available","","No","","New Age Media Ltd.","",
"KJTX-FM","","Inspirational Gospel","","No","","Wisdom Ministries, Inc.","",
"KVMI-AM","","Adult Contemporary","","No","","Momentum Broadcasting LP","",
"KJUG-FM","","Country","","No","","Momentum Broadcasting LP","",
"KVPH-FM","Las Vegas","Religious Teaching","","Yes","","VCY America, Inc.","",
"KSUH-AM","Seattle-Tacoma","Ethnic","KWYZAM","No","","Jean J. Suh","",
"KTDD-FM","Seattle-Tacoma","Contemporary Christian","","Yes","","Hope Media Group","",
"KJWL-FM","Fresno","Classic Hits","","No","","One Putt Broadcasting","",
"KMOZ-FM","","Country","","No","","MBC, Inc.","",
"KJYO-FM","Oklahoma City","CHR","","Yes","","iHeartMedia, Inc.","",
"KJZY-FM","San Francisco","Jazz","","Yes","HD2:Classic Country-99.1 The Bull","Redwood Empire Stereocasters","",
"KKAJ-FM","","Country","","No","","Stephens Media Group","",
"KXTK-AM","San Luis Obispo, CA","Sports","","No","","Rip Curl Broadcasting LLC.","",
"KKAM-AM","Lubbock","Silent","","No","","Townsquare Media","",
"KKAN-AM","","Oldies","","No","","RTY Broadcasting","",
"KKAQ-AM","","Classic Country","","No","","Tor Ingstad","",
"KOIL-AM","Omaha-Council Bluffs","Talk","","No","","NRG Media, LLC","Usher Media",
"KHTW-AM","Beaumont-Port Arthur, TX","Talk","","No","","Darby Ventures, LLC","",
"KHTB-FM","Salt Lake City-Ogden-Provo","CHR","KENZFM","Yes","","Cumulus Media, Inc.","",
"KKAY-AM","Baton Rouge","Inspirational Gospel","","No","","Liberty in Christ Jesus Ministry","",
"KNXX-FM","Baton Rouge","Sports","WNXXFM","No","","Guaranty Broadcasting, Inc.","",
"KKBA-FM","Corpus Christi","Rock","","No","","Malkan Broadcasting","",
"KKBB-FM","Bakersfield","R&B Classic","","No","","Hill Broadcasting","",
"KKBC-FM","","Classic Hits","KRJTFM","No","","Elkhorn Media Group","",
"KKBG-FM","","Adult Contemporary","KLEOFM","No","","Pacific Media Group, Inc.","",
"KKBI-FM","","Country","","No","","JL Radio LLC","",
"KKBJ-AM","","Talk","","No","","R.P. Broadcasting, Inc.","",
"KKBJ-FM","","Hot AC","","No","","R.P. Broadcasting, Inc.","",
"KKBL-FM","","CHR","","No","","Eagle Broadcasting, Inc. (MO)","",
"KKBN-FM","","Country","","No","","Mountain OmniMedia, Inc.","",
"KBME-AM","Houston-Galveston","Sports","","Yes","","iHeartMedia, Inc.","",
"KKBQ-FM","Houston-Galveston","Country","","Yes","HD2:Classic Country-Rodeo Radio","Radio One / Urban One","",
"KKBR-FM","","Hot AC","","No","","Townsquare Media","",
"KKBS-FM","","Rock","","No","","MLS Communications, Inc.","",
"KRRL-FM","Los Angeles","Urban Contemporary","","Yes","HD2:Talk-BIN","iHeartMedia, Inc.","",
"KMA-FM","","Talk","KMAAM","No","","KMALAND BROADCASTING, LLC","",
"KTGR-FM","Columbia, MO","Sports","KTGRAM","No","","Zimmer Radio of Mid-Missouri, Inc.","",
"KKCD-FM","Omaha-Council Bluffs","Classic Rock","","Yes","","SummitMedia, LLC","",
"KLOE-FM","","Rock","","No","","Kansas Broadcast Company, LLC","",
"KARZ-FM","","Classic Hits","","No","","Linder Radio, Inc.","",
"KKCL-FM","Lubbock","Classic Hits","","No","","Townsquare Media","",
"KJBX-FM","","Hot AC","","Yes","HD2:Classic Country-The Outlaw 98.5","Saga Communications, Inc.","",
"KKCQ-AM","","Talk","","No","","R & J Broadcasting, Inc.","",
"KKEQ-FM","","Contemporary Christian","","No","","Pine to Prairie Broadcasting, Inc.","",
"KZNT-AM","Colorado Springs","News/Talk","","No","","Salem Media Group","",
"KXWA-FM","Colorado Springs","Contemporary Christian","","No","","Hope Media Group","",
"KKCT-FM","Bismarck, ND","CHR","","No","","Townsquare Media","",
"KKHQ-FM","Waterloo-Cedar Falls, IA","CHR","","No","","Townsquare Media","",
"KKCW-FM","Portland, OR","Adult Contemporary","","Yes","HD2:Spanish Hot AC-Magic","iHeartMedia, Inc.","",
"KKCY-FM","Chico, CA","Country","","Yes","HD2:Oldies-95.5 YTO","Results Radio, LLC","",
"KKDA-AM","Dallas-Ft. Worth","Ethnic","","No","","SKR Partners, LLC","",
"KKDA-FM","Dallas-Ft. Worth","Urban Contemporary","","No","","Service Broadcasting Corp.","",
"KSHP-AM","Las Vegas","Sports","","No","","KD Radio, Inc.","",
"KMJ-FM","Fresno","News/Talk","KMJAM","Yes","","Cumulus Media, Inc.","",
"KBVB-FM","Fargo-Moorhead","Country","KDLBFM","Yes","HD2:Adult Alternative-The City 94.5","James Ingstad Broadcast Group","",
"KKDM-FM","Des Moines","CHR","","Yes","HD2:Sports-Des Moines` Sports Station / HD3:Contemporary Christian-K-LOVE","iHeartMedia, Inc.","",
"KKDQ-FM","","Country","","No","","Tor Ingstad","",
"KDYL-AM","Salt Lake City-Ogden-Provo","Spanish Format Not Available","","No","","La Estacion De La Familia","",
"KKDY-FM","","Country","","No","","Better Newspapers, Inc.","",
"KLMY-FM","","Hot AC","","No","","Ohana Media Group, LLC","",
"KQSM-FM","Fayetteville (North West Arkansas)","Sports","","No","","Cumulus Media, Inc.","",
"KKEX-FM","","Country","","Yes","HD2:Classic Country-104.5 The Ranch / HD3:Classic Country-104.9 The Ranch","Cache Valley Media Group","",
"KKEZ-FM","","Hot AC","","No","","Connoisseur Media, LLC","",
"KKFG-FM","","Classic Hits","","No","","iHeartMedia, Inc.","",
"KKFM-FM","Colorado Springs","Classic Rock","","No","","Cumulus Media, Inc.","",
"KKSE-AM","Denver-Boulder","Sports","","Yes","","KSE Radio Ventures","",
"KTAR-FM","Phoenix","News/Talk","","Yes","HD2:Religious Teaching-Latter-Day Saints Channel","Bonneville International","",
"KKDZ-AM","Seattle-Tacoma","Ethnic","","Yes","","Radio Punjab","",
"KKGB-FM","","Rock","","No","","Cumulus Media, Inc.","",
"KJOL-AM","","Religious Teaching","KJOLFM/KJYEAM","No","","United Ministries","",
"KJPG-AM","Bakersfield","Religious Teaching","","No","","Relevant Radio","",
"KKGO-FM","Los Angeles","Country","","Yes","HD2:Classical-K-Mozart / HD3:Oldies-K-Beatles / HD4:Classic Country-The Surf 105.1 HD4","Mount Wilson FM Broadcasters","",
"KFLT-FM","Tucson","Contemporary Christian","","Yes","","Family Life Communications","",
"KVVZ-FM","San Francisco","Spanish Urban Contemporary","KVVFFM","Yes","","TelevisaUnivision, Inc","",
"KHJ-AM","Los Angeles","Religious Teaching","","No","","Relevant Radio","",
"KTLT-FM","","Adult Contemporary","","No","","Cumulus Media, Inc.","",
"KHPT-FM","Houston-Galveston","Classic Rock","KGLKFM","Yes","HD2:Adult Hits-106.9 HD2 The Point / HD3:Spanish Regional Mexican-Sol Radio 101.7","Radio One / Urban One","",
"KMHR-AM","Boise","Spanish Regional Mexican","","No","","AZTECA MEDIA, LLC","",
"KLQB-FM","Austin","Spanish Regional Mexican","","No","HD2:Sports-TUDN Deportes","TelevisaUnivision, Inc","",
"KKIM-AM","Albuquerque","Religious Teaching","","No","","Wilkins Communications","",
"KKIN-AM","","Adult Standards","","No","","R & J Broadcasting, Inc.","",
"KKIQ-FM","San Francisco","Adult Contemporary","","No","","Connoisseur Media, LLC","",
"KKIS-FM","","Hot AC","","No","","KSRM Radio Group, Inc.","",
"KKIX-FM","Fayetteville (North West Arkansas)","Country","","No","","iHeartMedia, Inc.","",
"KKJG-FM","San Luis Obispo, CA","Country","","No","","American General Media","",
"KKJL-AM","San Luis Obispo, CA","Classic Hits","","No","","Rip Curl Broadcasting LLC.","",
"KKJO-FM","Topeka","Hot AC","","No","","Eagle Radio, Inc.","",
"KKJQ-FM","","Country","","No","","Murfin Media, Inc.","",
"KARP-FM","","Country","","No","","Tor Ingstad","",
"KMEE-FM","Palm Springs","Rhythmic-CHR","","No","","WKW Broadcasting","KGAY PSP Corp..",
"KLTH-FM","Portland, OR","Classic Hits","","Yes","HD2:Talk-1190 KEX","iHeartMedia, Inc.","",
"KHKX-FM","Odessa-Midland, TX","Country","","No","","Brazos Communications West, LLC","",
"KEZY-AM","","Spanish Religious Teaching","","No","","Hi-Favor Broadcasting, LLC","",
"KKLA-FM","Los Angeles","Religious Teaching","","No","","Salem Media Group","",
"KVLR-FM","Austin","Contemporary Christian","","Yes","HD2:Contemporary Christian-Boost Radio","K-Love, Inc.","",
"KKLE-AM","","Classic Rock","","No","","Murfin Media, Inc.","",
"KKLI-FM","Colorado Springs","Adult Contemporary","","Yes","","iHeartMedia, Inc.","",
"KJCW-AM","Joplin, MO","Religious Teaching","","No","","Catholic Radio Network, Inc.","",
"KKLO-AM","Kansas City","Spanish Religious Teaching","","No","","RADIO VIDA KANSAS, INC.","",
"KKSM-AM","San Diego","Adult Alternative","","No","","Palomar College","",
"KLNV-FM","San Diego","Spanish Regional Mexican","","Yes","","TelevisaUnivision, Inc","",
"KKLR-FM","","Country","","No","","Max Broadcast Group Holdings, LLC","",
"KKLS-AM","","Classic Country","","No","","HomeSlice Media Group, LLC","",
"KKLS-FM","Sioux Falls, SD","CHR","","No","","Townsquare Media","",
"KMVP-FM","Phoenix","Sports","","Yes","","Bonneville International","",
"KDNN-FM","Honolulu","Ethnic","","Yes","","iHeartMedia, Inc.","",
"KKLX-FM","","Hot AC","","No","","Legend Communications, LLC","",
"KKLZ-FM","Las Vegas","Classic Hits","","Yes","HD2:Spanish Tropical-Playa 96.3 HD-2","Beasley Media Group","",
"KKMA-FM","Sioux City, IA","Classic Rock","","No","","Powell Broadcasting","",
"KKMC-AM","Monterey-Salinas-Santa Cruz","Spanish Religious Teaching","","No","","El Sembrador Ministries","",
"KKMG-FM","Colorado Springs","CHR","","Yes","","Cumulus Media, Inc.","",
"KKMI-FM","","Adult Contemporary","","No","","Pritchard Broadcasting Corp.","",
